userid,key,value,boardSize,condition,boardType,time
9ad23291,click,"[[0,1,2,2,0,0],[0,2,1,1,2,1],[1,2,2,2,1,0],[2,0,1,1,2,1],[1,0,2,2,0,0],[0,0,0,0,0,0]]",6,full,easy,1558197206786
9ad23291,click,"[[0,1,2,2,0,0],[0,2,1,1,2,1],[1,2,2,2,1,1],[2,0,1,1,2,1],[1,0,2,2,0,0],[0,0,0,0,0,0]]",6,full,easy,1558197210772
9ad23291,clickPos,2_5_1,6,full,easy,1558197210773
9ad23291,reset,"[[0,1,0,2,0,0],[0,2,1,1,0,0],[1,2,2,2,1,0],[2,0,1,1,2,0],[1,0,2,2,0,0],[0,0,0,0,0,0]]",6,full,easy,1558197218668
9ad23291,clickPos,3_5_1,6,full,easy,1558197229558
9ad23291,click,"[[0,1,0,2,0,0],[0,2,1,1,0,0],[1,2,2,2,1,0],[2,0,1,1,2,1],[1,0,2,2,0,0],[0,0,0,0,0,0]]",6,full,easy,1558197229558
9ad23291,click,"[[0,1,2,2,0,0],[0,2,1,1,0,0],[1,2,2,2,1,0],[2,0,1,1,2,1],[1,0,2,2,0,0],[0,0,0,0,0,0]]",6,full,easy,1558197231655
9ad23291,clickPos,0_2_2,6,full,easy,1558197231656
9ad23291,click,"[[0,1,2,2,0,0],[0,2,1,1,0,1],[1,2,2,2,1,0],[2,0,1,1,2,1],[1,0,2,2,0,0],[0,0,0,0,0,0]]",6,full,easy,1558197235289
9ad23291,clickPos,1_5_1,6,full,easy,1558197235290
9ad23291,click,"[[0,1,2,2,0,0],[0,2,1,1,2,1],[1,2,2,2,1,0],[2,0,1,1,2,1],[1,0,2,2,0,0],[0,0,0,0,0,0]]",6,full,easy,1558197240412
9ad23291,clickPos,1_4_2,6,full,easy,1558197240413
9ad23291,click,"[[0,1,2,2,0,0],[0,2,1,1,2,1],[1,2,2,2,1,1],[2,0,1,1,2,1],[1,0,2,2,0,0],[0,0,0,0,0,0]]",6,full,easy,1558197241839
9ad23291,clickPos,2_5_1,6,full,easy,1558197241840
9ad23291,timeSolution,143775,6,full,easy,1558197250295
9ad23291,next_move,,6,full,easy,1558197250299
9ad23291,confidence,5,6,full,easy,1558197250300
9ad23291,best_move,f3,6,full,easy,1558197250300
9ad23291,verification_answer,0,6,full,easy,1558197250301
9ad23291,correct,TRUE,6,full,easy,1558197250301
9ad23291,timeStrategy,160799,6,full,easy,1558197411101
9ad23291,reset,"[[0,1,0,2,0,0],[0,2,1,1,0,0],[1,2,2,2,1,0],[2,0,1,1,2,0],[1,0,2,2,0,0],[0,0,0,0,0,0]]",6,full,easy,1558197411114
9ad23291,click_sim,"[[0,1,0,2,0,0],[0,2,1,1,0,0],[1,2,2,2,1,0],[2,0,1,1,2,1],[1,0,2,2,0,0],[0,0,0,0,0,0]]",6,full,easy,1558197422138
9ad23291,simCorrectMove,0_0,6,full,easy,1558197422138
9ad23291,clickPos_sim,3_5_1,6,full,easy,1558197422139
9ad23291,click_sim,"[[0,1,2,2,0,0],[0,2,1,1,0,0],[1,2,2,2,1,0],[2,0,1,1,2,1],[1,0,2,2,0,0],[0,0,0,0,0,0]]",6,full,easy,1558197422149
9ad23291,clickPos_sim,0_2_2,6,full,easy,1558197422150
9ad23291,clickPos_sim,1_5_1,6,full,easy,1558197426722
9ad23291,simCorrectMove,0_1,6,full,easy,1558197426722
