,Unnamed: 0,userid,board_size,condition,board_type,solved_correct,validated_correct,time_solution,time_validation,actions_solution,actions_validation,time,AssignmentId,WorkerId,bonus,board_name
82,82,4cf589a5,10,pruned,hard,TRUE,TRUE,537600,57111,108,4,1.55448E+12,3NQL1CS15SFJAJZXW9X8VBB115KVY4,AG6WV3WODQ7IN,0,10_pruned_hard
83,83,adf58cf8,10,full,medium,FALSE,FALSE,31347,25427,4,0,1.55448E+12,3MX2NQ3YCA1DCKU8LMTT8ZATMBP5X2,A2UIGDOLX5RV95,0,10_full_medium
84,84,7ce58b1e,10,pruned,medium,FALSE,FALSE,582069,67466,81,0,1.55449E+12,30JNVC0ORAR5JGDR0AZA3OHQUHWQHA,AK1Q45RF8A87Z,0,10_pruned_medium
85,85,e4f58f31,10,pruned,medium,TRUE,TRUE,54072,42506,9,4,1.55449E+12,34YB12FSQZV0Y5KOOBAB1FLK5HXMGX,A3F7FH2NDBBN1M,0,10_pruned_medium
86,86,75d58ff2,6,full,easy,TRUE,TRUE,121039,43933,10,4,1.55449E+12,3GA6AFUKOPVDCF7P2ZNEQGOFKPF3HH,A194UMZESQE6BS,0,6_full_easy
87,87,84a58fb6,10,full,medium,FALSE,FALSE,64965,29627,2,0,1.55449E+12,37C0GNLMHGAVXIP5Z52M6YL12OO6DH,ASHG4UDKXYBPK,0,10_full_medium
88,88,86b58ffd,10,pruned,hard,TRUE,TRUE,107560,81708,8,4,1.55449E+12,3S06PH7KSSB0QWO8TZQ5B2UKUD8D1Q,A2NEFRREWF33YP,0,10_pruned_hard
89,89,4ac58df4,10,pruned,hard,FALSE,FALSE,578521,83655,71,0,1.55449E+12,3VJ40NV2QJUS3DR6LROVS2PEQAHTON,A1LSGYXKP6O1B8,0,10_pruned_hard
90,90,1fa5910b,10,full,medium,TRUE,FALSE,104857,10264,9,0,1.55449E+12,3HFNH7HEMILRJKIGG4HSIO5PFHFQG7,A3037FNBVPPAY9,0,10_full_medium
91,91,92f58f05,10,full,medium,FALSE,FALSE,435361,22552,38,0,1.55449E+12,34J10VATJG55FBOB6SHV30I5UU7QIZ,A002160837SWJFPIAI7L7,0,10_full_medium
92,92,80e591d4,10,pruned,hard,TRUE,TRUE,92192,25117,21,4,1.55449E+12,358UUM7WR0A82SMF0G2YH121C1GR7Q,A2ENGC389KC9U2,0,10_pruned_hard
