,move_limit,noise,k,board,tradeoff
657,50,2.5,10,6_easy_pruned,1
658,50,2.5,10,6_hard_full,0
659,50,2.5,10,6_hard_pruned,0
660,100,0.0,3,10_easy_full,0
661,100,0.0,3,10_easy_pruned,0
662,100,0.0,3,10_hard_full,0
663,100,0.0,3,10_hard_pruned,0
664,100,0.0,3,10_medium_full,0
665,100,0.0,3,10_medium_pruned,0
666,100,0.0,3,6_easy_full,0
667,100,0.0,3,6_easy_pruned,0
668,100,0.0,3,6_hard_full,0
669,100,0.0,3,6_hard_pruned,0
670,100,0.0,5,10_easy_full,0
671,100,0.0,5,10_easy_pruned,0
672,100,0.0,5,10_hard_full,0
673,100,0.0,5,10_hard_pruned,0
674,100,0.0,5,10_medium_full,0
675,100,0.0,5,10_medium_pruned,0
676,100,0.0,5,6_easy_full,0
677,100,0.0,5,6_easy_pruned,0
678,100,0.0,5,6_hard_full,0
679,100,0.0,5,6_hard_pruned,0
680,100,0.0,10,10_easy_full,0
681,100,0.0,10,10_easy_pruned,0
682,100,0.0,10,10_hard_full,0
683,100,0.0,10,10_hard_pruned,1
684,100,0.0,10,10_medium_full,0
685,100,0.0,10,10_medium_pruned,0
686,100,0.0,10,6_easy_full,0
687,100,0.0,10,6_easy_pruned,0
688,100,0.0,10,6_hard_full,0
689,100,0.0,10,6_hard_pruned,0
690,100,0.25,3,10_easy_full,0
691,100,0.25,3,10_easy_pruned,0
692,100,0.25,3,10_hard_full,0
693,100,0.25,3,10_hard_pruned,0
