,userid,player,missed_win,board,fitted_heuristic,correct
314,c8c4f85a,1.0,0.0,10_easy_full,blocking,1
315,c8c4f85a,2.0,1.0,10_easy_full,blocking,1
316,c9c757af,1.0,0.0,6_easy_pruned,interaction,1
317,cceac8ca,1.0,0.25,6_hard_full,interaction,0
318,cceac8ca,2.0,0.75,6_hard_full,interaction,0
319,cdc514e1,1.0,0.4,10_hard_pruned,blocking,0
320,cdc514e1,2.0,0.857142857143,10_hard_pruned,blocking,0
321,ceafe698,1.0,0.0,10_easy_pruned,interaction,1
322,cec10cc8,1.0,0.0,10_easy_pruned,blocking,1
323,cefc077d,1.0,0.2,10_medium_pruned,blocking,1
324,cfd6ff5a,1.0,0.3,6_easy_full,density,0
325,cfd6ff5a,2.0,1.0,6_easy_full,density,0
326,cff10c9a,1.0,0.0,10_easy_full,blocking,1
327,cff10c9a,2.0,1.0,10_easy_full,blocking,1
328,d0f687f1,1.0,0.4,10_medium_pruned,blocking,0
329,d0f687f1,2.0,1.0,10_medium_pruned,blocking,0
330,d1bbc1e6,1.0,0.333333333333,10_medium_pruned,blocking,1
331,d2ac158a,1.0,0.0,10_hard_full,blocking,1
332,d2ac158a,2.0,1.0,10_hard_full,blocking,1
333,d2d73ea5,2.0,1.0,6_easy_pruned,non-linear,0
334,d3b525de,1.0,0.0,6_easy_full,density,0
335,d3b525de,2.0,0.75,6_easy_full,density,0
336,d4fac87b,1.0,0.0,6_hard_pruned,density,0
337,d4fac87b,2.0,1.0,6_hard_pruned,density,0
338,d6b67ee1,1.0,0.4,6_easy_full,blocking,1
339,d6b67ee1,2.0,1.0,6_easy_full,blocking,1
340,d6c10e9a,1.0,0.333333333333,10_easy_full,blocking,0
341,d6c10e9a,2.0,1.0,10_easy_full,blocking,0
342,d6d500ab,1.0,0.5,6_easy_full,density,0
343,d6d500ab,2.0,1.0,6_easy_full,density,0
344,d8aacc7a,1.0,0.0,10_medium_pruned,interaction,1
345,d9e4f7e5,1.0,0.0,10_hard_pruned,density,0
346,d9e4f7e5,2.0,0.0,10_hard_pruned,density,0
347,daa11f50,1.0,0.0,10_medium_pruned,blocking,0
348,daa11f50,2.0,1.0,10_medium_pruned,blocking,0
349,dabbe6bb,1.0,0.0,6_easy_full,non-linear,1
350,dabbe6bb,2.0,0.857142857143,6_easy_full,non-linear,1
351,daefd33a,1.0,0.0,6_hard_pruned,density,0
