,board,continued,count,path_length,probability,state
99,6_easy_full,0.0,1.0,7,0.0,"[[0 1 1 2 0 0]
 [0 2 1 1 2 1]
 [1 2 2 2 1 1]
 [2 2 1 1 2 2]
 [1 1 2 2 0 0]
 [0 0 0 0 0 0]]"
100,6_easy_full,1.0,2.0,1,0.5,"[[0 1 0 2 0 0]
 [0 2 1 1 0 0]
 [1 2 2 2 1 0]
 [2 0 1 1 2 0]
 [1 1 2 2 0 2]
 [0 0 0 0 0 0]]"
101,6_easy_full,1.0,1.0,14,1.0,"[[0 1 2 2 1 2]
 [1 2 1 1 2 1]
 [1 2 2 2 1 1]
 [2 2 1 1 2 2]
 [1 1 2 2 2 1]
 [0 0 0 0 1 2]]"
102,6_easy_full,1.0,1.0,3,1.0,"[[0 1 0 2 0 1]
 [0 2 1 1 0 0]
 [1 2 2 2 1 0]
 [2 2 1 1 2 0]
 [1 1 2 2 0 0]
 [0 0 0 0 0 0]]"
103,6_easy_full,0.0,1.0,1,0.0,"[[0 1 0 2 0 0]
 [0 2 1 1 0 0]
 [1 2 2 2 1 2]
 [2 0 1 1 2 0]
 [1 0 2 2 0 0]
 [0 0 1 0 0 0]]"
104,6_easy_full,1.0,1.0,2,1.0,"[[1 1 0 2 0 0]
 [0 2 1 1 0 0]
 [1 2 2 2 1 0]
 [2 2 1 1 2 0]
 [1 0 2 2 0 0]
 [0 0 0 0 0 0]]"
105,6_easy_full,0.0,1.0,5,0.0,"[[0 1 2 2 0 0]
 [0 2 1 1 0 0]
 [1 2 2 2 1 1]
 [2 0 1 1 2 1]
 [1 2 2 2 1 2]
 [0 0 0 0 0 0]]"
106,6_easy_full,1.0,1.0,4,1.0,"[[0 1 1 2 0 0]
 [0 2 1 1 0 0]
 [1 2 2 2 1 0]
 [2 2 1 1 2 2]
 [1 1 2 2 0 0]
 [0 0 0 0 0 0]]"
107,6_easy_full,0.0,1.0,4,0.0,"[[0 1 0 2 0 0]
 [0 2 1 1 0 0]
 [1 2 2 2 1 0]
 [2 2 1 1 2 0]
 [1 1 2 2 2 1]
 [0 0 0 0 0 1]]"
108,6_easy_full,1.0,2.0,4,0.5,"[[0 1 0 2 0 0]
 [0 2 1 1 0 0]
 [1 2 2 2 1 0]
 [2 1 1 1 2 0]
 [1 2 2 2 1 0]
 [2 0 0 0 0 0]]"
109,6_easy_full,1.0,2.0,3,0.5,"[[0 1 1 2 0 1]
 [0 2 1 1 0 0]
 [1 2 2 2 1 0]
 [2 0 1 1 2 2]
 [1 0 2 2 0 0]
 [0 0 0 0 0 0]]"
110,6_easy_full,0.0,1.0,5,0.0,"[[0 1 2 2 0 0]
 [0 2 1 1 0 1]
 [1 2 2 2 1 1]
 [2 0 1 1 2 1]
 [1 0 2 2 0 2]
 [0 0 0 0 0 0]]"
111,6_easy_full,1.0,1.0,4,1.0,"[[0 1 0 2 0 0]
 [0 2 1 1 0 0]
 [1 2 2 2 1 0]
 [2 0 1 1 2 0]
 [1 2 2 2 1 1]
 [0 0 2 0 0 0]]"
112,6_easy_full,1.0,2.0,3,0.5,"[[0 1 0 2 0 0]
 [0 2 1 1 2 1]
 [1 2 2 2 1 1]
 [2 0 1 1 2 2]
 [1 0 2 2 0 0]
 [0 0 0 0 0 0]]"
113,6_easy_full,2.0,2.0,2,1.0,"[[0 1 1 2 0 0]
 [0 2 1 1 0 0]
 [1 2 2 2 1 0]
 [2 2 1 1 2 0]
 [1 0 2 2 0 0]
 [0 0 0 0 0 0]]"
114,6_easy_full,12.0,15.0,1,0.8,"[[0 1 0 2 0 0]
 [0 2 1 1 0 0]
 [1 2 2 2 1 0]
 [2 0 1 1 2 0]
 [1 0 2 2 1 0]
 [0 0 0 0 0 0]]"
115,6_easy_full,22.0,26.0,4,0.846153846154,"[[0 1 2 2 0 0]
 [0 2 1 1 2 1]
 [1 2 2 2 1 0]
 [2 0 1 1 2 1]
 [1 0 2 2 0 0]
 [0 0 0 0 0 0]]"
116,6_easy_full,3.0,4.0,5,0.75,"[[0 1 0 2 0 0]
 [0 2 1 1 0 0]
 [1 2 2 2 1 1]
 [2 1 1 1 2 0]
 [1 2 2 2 1 0]
 [0 0 2 0 0 0]]"
117,6_easy_full,2.0,3.0,3,0.666666666667,"[[0 1 0 2 0 0]
 [0 2 1 1 0 0]
 [1 2 2 2 1 1]
 [2 0 1 1 2 0]
 [1 2 2 2 1 0]
 [0 0 0 0 0 0]]"
118,6_easy_full,0.0,1.0,5,0.0,"[[0 1 2 2 0 0]
 [0 2 1 1 1 2]
 [1 2 2 2 1 0]
 [2 2 1 1 2 1]
 [1 1 2 2 0 0]
 [0 0 0 0 0 0]]"
