,board,heuristic,likelihoods_block,likelihoods_density,likelihoods_interaction,userid
217,10_hard_full,density,-3.93715910307,-3.44817946746,-3.93114965494,7cf6845b
218,10_hard_full,blocking,-2.56220826932,-3.18855337692,-2.62244470028,84dbf4f9
219,10_hard_full,blocking,-1.54538649358,-3.24459488416,-1.83857845406,87cfed83
220,10_hard_full,density,-3.46477034271,-3.4244471946,-3.53103196659,8bc69c49
221,10_hard_full,blocking,-1.1260013036,-3.05788702354,-1.25173076146,92e6f512
222,10_hard_full,blocking,-1.89502842434,-3.06438031577,-1.90772142108,98d105c1
223,10_hard_full,blocking,-1.64985866797,-3.32185730189,-1.76718064857,9befd8ad
224,10_hard_full,blocking,-2.9011541291,-3.30851672699,-3.04474282121,a3eacaa9
225,10_hard_full,interaction,-2.52541889862,-3.26904657149,-2.46626938007,a4f74985
226,10_hard_full,blocking,-1.48000712813,-3.14950483021,-1.63735531027,abc728e1
227,10_hard_full,blocking,-3.28412479518,-3.44013335872,-3.32539278621,aceaccbc
228,10_hard_full,interaction,-3.09002628099,-3.15813275423,-2.98226076536,add50f98
229,10_hard_full,blocking,-1.94444941195,-3.22219916415,-2.47879630849,b1ebd3b5
230,10_hard_full,interaction,-3.2080166124,-3.91582347206,-3.07960972833,b5b6dcbc
231,10_hard_full,interaction,-1.66665672274,-3.09247469828,-1.64320461677,d2ac158a
232,10_hard_full,interaction,-2.65420104918,-3.08450014652,-2.57309503777,edf12206
233,10_hard_full,density,-3.30939580344,-3.12845718642,-3.27631294416,f0ebc21e
234,10_hard_full,density,-4.03929500381,-3.30705538022,-4.25375187383,f6fbf7bf
235,10_hard_full,density,-3.74035013296,-3.38525903369,-3.79773800047,f7ebbfe9
236,10_hard_pruned,interaction,-2.89982297435,-2.93679786608,-2.68304087036,13b7468e
237,10_hard_pruned,blocking,-2.82336551007,-3.40776167765,-2.84905598871,13dbbfb8
238,10_hard_pruned,blocking,-2.49040790044,-3.29127979912,-2.78482801473,16f6e58d
239,10_hard_pruned,density,-4.10149401798,-3.12409902081,-3.98996238738,18a695e2
240,10_hard_pruned,blocking,-1.41250491539,-2.97000532498,-1.61431650097,1bd72c42
241,10_hard_pruned,interaction,-2.60287553124,-3.1714187731,-2.59784434519,28d4fefb
242,10_hard_pruned,blocking,-2.55038581361,-3.41594041251,-2.64214713694,31f6a576
243,10_hard_pruned,blocking,-1.19837050911,-3.07758684821,-1.24018176343,32fad07f
244,10_hard_pruned,interaction,-3.08639417938,-3.3678187304,-3.02722719685,41bad9a2
245,10_hard_pruned,density,-5.34089493494,-3.00089231402,-5.27721615293,4bfffc8c
246,10_hard_pruned,density,-4.27454169738,-4.13974396695,-4.38698349478,50f6b001
247,10_hard_pruned,blocking,-0.991889700307,-3.02723372944,-1.0826709225,5bc4f225
248,10_hard_pruned,density,-4.01822568284,-3.65150245123,-3.88604680355,77ba7edc
249,10_hard_pruned,blocking,-2.09455519343,-3.31703424889,-2.30827948831,7dea8d37
250,10_hard_pruned,blocking,-3.17291167914,-3.20442853853,-3.23797677492,7ef11f8d
251,10_hard_pruned,blocking,-2.05058842817,-3.12746105554,-2.16049524357,8aa6d830
252,10_hard_pruned,blocking,-1.64781349652,-3.65442969713,-1.93157874995,8ea50714
253,10_hard_pruned,blocking,-1.45839970692,-3.21211048323,-1.46484165335,98c10b8a
254,10_hard_pruned,blocking,-3.22450057886,-3.29355506996,-3.22896952898,acdac85f
255,10_hard_pruned,interaction,-2.59109911689,-3.18649261952,-2.53776214943,b8bac8b7
256,10_hard_pruned,blocking,-1.17036982159,-2.95878451386,-1.30063463782,bacbc468
257,10_hard_pruned,blocking,-1.43353108041,-3.45916207693,-1.45409575487,bcf51783
258,10_hard_pruned,blocking,-1.03428262272,-3.66818238285,-1.24582660986,c2cbff2e
259,10_hard_pruned,interaction,-3.28370644098,-3.48245851755,-3.22213250225,cce7504c
260,10_hard_pruned,blocking,-2.59861935255,-3.21525498704,-2.67507663467,cdc514e1
261,10_hard_pruned,density,-3.90922458638,-3.47220324758,-3.93297714269,d1cac84b
262,10_hard_pruned,interaction,-3.29779874176,-3.29967724622,-3.23863090468,d9e4f7e5
263,10_hard_pruned,interaction,-2.66700505829,-3.33594506263,-2.64573889189,e2b10de5
264,10_hard_pruned,blocking,-3.1047263229,-3.15562780868,-3.24417402081,e6efec72
265,10_hard_pruned,blocking,-1.8643994514,-3.2952203284,-1.88164006975,edfff93e
266,10_hard_pruned,blocking,-2.81893467733,-3.52476556263,-2.84324683688,efd4fa4a
267,10_hard_pruned,interaction,-3.86560876353,-3.96317918117,-3.72888121047,f3f4f4ae
268,10_hard_pruned,blocking,-2.4950002586,-3.68055972831,-2.55174714349,f4c4f33c
269,10_hard_pruned,blocking,-2.80289836886,-3.32583317601,-3.0350774284,fcb764e3
270,6_easy_full,density,-3.36111599885,-2.82529473986,-3.26537425653,12eacae6
