,userid,solved,board_name,board_size,board_type,condition,action
401,72caeffe,wrong,10_easy_full,10,easy,full,77
402,72d587f7,wrong,10_hard_full,10,hard,full,11
403,72e6961c,validatedCorrect,10_medium_full,10,medium,full,5
404,72f4c145,wrong,6_hard_full,6,hard,full,7
405,72f6b345,wrong,10_hard_pruned,10,hard,pruned,7
406,73b55a82,validatedCorrect,6_easy_pruned,6,easy,pruned,1
407,74b149ab,wrong,10_medium_full,10,medium,full,3
408,74b60b9f,wrong,6_hard_full,6,hard,full,8
409,74d43e43,validatedCorrect,10_hard_pruned,10,hard,pruned,7
410,74e11ee8,validatedCorrect,6_hard_pruned,6,hard,pruned,1
411,75bbec9c,wrong,10_easy_full,10,easy,full,24
412,75d58ff2,validatedCorrect,6_easy_full,6,easy,full,7
413,75ffd9e8,wrong,10_hard_full,10,hard,full,28
414,76a57536,wrong,6_easy_full,6,easy,full,6
415,76abf978,wrong,10_medium_full,10,medium,full,39
416,76bfdf0b,wrong,10_easy_pruned,10,easy,pruned,40
417,76c104da,wrong,10_easy_full,10,easy,full,3
418,76e60f84,wrong,6_hard_full,6,hard,full,17
419,76f6a1e9,validatedCorrect,10_medium_pruned,10,medium,pruned,52
420,77b6ced8,wrong,10_medium_pruned,10,medium,pruned,3
421,77ba7edc,wrong,10_hard_pruned,10,hard,pruned,12
422,77c580bf,wrong,6_easy_full,6,easy,full,8
423,77d58870,validatedCorrect,10_medium_pruned,10,medium,pruned,64
424,78d2eb57,wrong,6_easy_full,6,easy,full,3
425,78f29cf9,validatedCorrect,10_hard_pruned,10,hard,pruned,55
