,board,missed_win,player
528,6_hard_pruned,1,2.0
529,6_hard_pruned,1,1.0
530,6_hard_pruned,1,2.0
531,6_hard_pruned,0,1.0
532,6_hard_pruned,0,1.0
533,6_hard_pruned,0,1.0
534,6_hard_pruned,0,1.0
535,6_hard_pruned,1,2.0
536,6_hard_pruned,0,1.0
537,6_hard_pruned,1,2.0
538,6_hard_pruned,1,1.0
539,6_hard_pruned,0,2.0
540,6_hard_pruned,0,1.0
541,6_hard_pruned,0,1.0
542,6_hard_pruned,1,1.0
543,6_hard_pruned,0,2.0
544,6_hard_pruned,0,1.0
545,6_hard_pruned,0,1.0
546,6_hard_pruned,1,2.0
547,6_hard_pruned,1,2.0
548,6_hard_pruned,0,1.0
549,6_hard_pruned,0,1.0
550,6_hard_pruned,0,1.0
551,6_hard_pruned,1,2.0
552,6_hard_pruned,1,2.0
553,6_hard_pruned,1,2.0
554,6_hard_pruned,1,2.0
555,6_hard_pruned,1,1.0
556,6_hard_pruned,1,2.0
557,6_hard_pruned,0,1.0
558,6_hard_pruned,1,2.0
559,6_hard_pruned,0,1.0
560,6_hard_pruned,1,2.0
561,6_hard_pruned,1,1.0
562,6_hard_pruned,1,1.0
563,6_hard_pruned,0,1.0
564,6_hard_pruned,0,1.0
565,6_hard_pruned,0,1.0
566,6_hard_pruned,0,1.0
567,6_hard_pruned,0,1.0
568,6_hard_pruned,0,1.0
569,6_hard_pruned,0,2.0
570,6_hard_pruned,1,1.0
571,6_hard_pruned,0,1.0
572,6_hard_pruned,0,1.0
573,6_hard_pruned,1,2.0
574,6_hard_pruned,1,2.0
575,6_hard_pruned,0,2.0
576,6_hard_pruned,1,2.0
577,6_hard_pruned,1,2.0
578,6_hard_pruned,0,2.0
579,6_hard_pruned,0,2.0
580,6_hard_pruned,1,2.0
581,6_hard_pruned,0,2.0
582,6_hard_pruned,0,1.0
583,6_hard_pruned,0,1.0
584,6_hard_pruned,0,1.0
585,6_hard_pruned,1,1.0
586,6_hard_pruned,0,1.0
587,6_hard_pruned,0,1.0
588,6_hard_pruned,1,1.0
589,6_hard_pruned,1,1.0
590,6_hard_pruned,0,1.0
591,6_hard_pruned,0,1.0
592,6_hard_pruned,1,1.0
593,6_hard_pruned,1,2.0
594,6_hard_pruned,0,1.0
595,6_hard_pruned,1,2.0
596,6_hard_pruned,0,1.0
597,6_hard_pruned,0,1.0
598,6_hard_pruned,0,1.0
599,6_hard_pruned,0,2.0
600,6_hard_pruned,1,2.0
601,6_hard_pruned,0,2.0
602,6_hard_pruned,1,2.0
603,6_hard_pruned,1,1.0
604,6_hard_pruned,1,1.0
605,6_hard_pruned,0,1.0
606,6_hard_pruned,1,2.0
607,6_hard_pruned,1,2.0
608,6_hard_pruned,1,2.0
609,6_hard_pruned,1,2.0
610,6_hard_pruned,1,1.0
611,6_hard_pruned,0,1.0
612,6_hard_pruned,0,1.0
613,6_hard_pruned,1,1.0
614,6_hard_pruned,1,1.0
615,6_hard_pruned,1,2.0
616,6_hard_pruned,1,1.0
617,6_hard_pruned,1,2.0
618,6_hard_pruned,1,1.0
619,6_hard_pruned,0,2.0
620,6_hard_pruned,1,2.0
621,6_hard_pruned,0,1.0
622,6_hard_pruned,1,2.0
623,6_hard_pruned,0,1.0
624,6_hard_pruned,0,2.0
625,6_hard_pruned,1,1.0
626,6_hard_pruned,0,1.0
627,6_hard_pruned,0,1.0
628,6_hard_pruned,1,2.0
629,6_hard_pruned,1,2.0
630,6_hard_pruned,0,1.0
631,6_hard_pruned,1,2.0
632,6_hard_pruned,1,1.0
633,6_hard_pruned,1,2.0
634,6_hard_pruned,1,2.0
635,6_hard_pruned,1,1.0
636,6_hard_pruned,0,1.0
637,6_hard_pruned,0,1.0
638,6_hard_pruned,1,2.0
639,6_hard_pruned,0,1.0
640,6_hard_pruned,1,2.0
641,6_hard_pruned,1,2.0
642,6_hard_pruned,1,2.0
643,6_hard_pruned,0,1.0
644,6_hard_pruned,0,1.0
645,6_hard_pruned,1,2.0
646,6_hard_pruned,0,1.0
647,6_hard_pruned,0,1.0
648,6_hard_pruned,1,2.0
649,6_hard_pruned,1,1.0
650,6_hard_pruned,0,1.0
651,6_hard_pruned,0,1.0
652,6_hard_pruned,0,1.0
653,6_hard_pruned,1,2.0
654,6_hard_pruned,0,2.0
655,6_hard_pruned,0,1.0
656,6_hard_pruned,1,2.0
657,6_hard_pruned,0,1.0
658,6_hard_pruned,1,2.0
659,6_hard_pruned,1,2.0
660,6_hard_pruned,1,2.0
661,6_hard_pruned,0,1.0
662,6_hard_pruned,1,2.0
663,6_hard_pruned,0,1.0
664,6_hard_pruned,0,1.0
665,6_hard_pruned,1,2.0
666,6_hard_pruned,1,1.0
667,6_hard_pruned,1,2.0
668,6_hard_pruned,1,1.0
669,6_hard_pruned,0,2.0
670,6_hard_pruned,1,1.0
671,6_hard_pruned,0,2.0
672,6_hard_pruned,1,1.0
673,6_hard_pruned,1,2.0
674,6_hard_pruned,1,1.0
675,6_hard_pruned,1,2.0
676,6_hard_pruned,0,1.0
677,6_hard_pruned,1,1.0
678,6_hard_pruned,1,2.0
679,6_hard_pruned,1,1.0
680,6_hard_pruned,1,1.0
681,6_hard_pruned,1,2.0
682,6_hard_pruned,1,2.0
683,6_hard_pruned,1,2.0
684,6_hard_pruned,1,2.0
685,6_hard_pruned,0,2.0
686,6_hard_pruned,0,2.0
687,6_hard_pruned,1,2.0
688,6_hard_pruned,1,2.0
689,6_hard_pruned,1,2.0
690,6_hard_pruned,0,2.0
691,6_hard_pruned,0,1.0
692,6_hard_pruned,0,1.0
693,6_hard_pruned,1,2.0
694,6_hard_pruned,0,1.0
695,6_hard_pruned,1,2.0
696,6_hard_pruned,1,2.0
697,6_hard_pruned,1,2.0
698,6_hard_pruned,1,2.0
699,6_hard_pruned,0,2.0
700,6_hard_pruned,1,2.0
701,6_hard_pruned,1,2.0
702,6_hard_pruned,1,2.0
703,6_hard_pruned,1,1.0
704,6_hard_pruned,1,2.0
705,6_hard_pruned,1,2.0
706,6_hard_pruned,1,2.0
707,6_hard_pruned,0,1.0
708,6_hard_pruned,1,2.0
709,6_hard_pruned,1,2.0
710,6_hard_pruned,1,1.0
711,6_hard_pruned,1,2.0
712,6_hard_pruned,1,2.0
713,6_hard_pruned,1,2.0
714,6_hard_pruned,1,1.0
715,6_hard_pruned,0,1.0
716,10_hard_full,1,2.0
717,10_hard_full,1,1.0
718,10_hard_full,0,1.0
719,10_hard_full,1,2.0
720,10_hard_full,1,2.0
721,10_hard_full,0,2.0
722,10_hard_full,1,2.0
723,10_hard_full,1,2.0
724,10_hard_full,0,1.0
725,10_hard_full,1,1.0
726,10_hard_full,0,1.0
727,10_hard_full,0,1.0
728,10_hard_full,0,2.0
729,10_hard_full,1,2.0
730,10_hard_full,1,2.0
731,10_hard_full,0,1.0
732,10_hard_full,0,1.0
733,10_hard_full,1,2.0
734,10_hard_full,1,1.0
735,10_hard_full,1,1.0
736,10_hard_full,0,1.0
737,10_hard_full,1,2.0
738,10_hard_full,0,2.0
739,10_hard_full,1,2.0
740,10_hard_full,0,2.0
741,10_hard_full,1,2.0
742,10_hard_full,1,1.0
743,10_hard_full,0,1.0
744,10_hard_full,1,2.0
745,10_hard_full,1,2.0
746,10_hard_full,1,2.0
747,10_hard_full,1,2.0
748,10_hard_full,0,1.0
749,10_hard_full,0,2.0
750,10_hard_full,1,2.0
751,10_hard_full,1,2.0
752,10_hard_full,0,1.0
753,10_hard_full,0,1.0
754,10_hard_full,0,1.0
755,10_hard_full,0,1.0
756,10_hard_full,0,1.0
757,10_hard_full,1,2.0
758,10_hard_full,1,2.0
759,10_hard_full,0,2.0
760,10_hard_full,0,2.0
761,10_hard_full,1,2.0
762,10_hard_full,1,2.0
763,10_hard_full,0,1.0
764,10_hard_full,0,1.0
765,10_hard_full,0,1.0
766,10_hard_full,1,2.0
767,10_hard_full,1,2.0
768,10_hard_full,1,2.0
769,10_hard_full,1,2.0
770,10_hard_full,1,2.0
771,10_hard_full,1,2.0
772,10_hard_full,1,2.0
773,10_hard_full,1,2.0
774,10_hard_full,0,1.0
775,10_hard_full,1,2.0
776,10_hard_full,1,2.0
777,10_hard_full,1,2.0
778,10_hard_full,0,2.0
779,10_hard_full,0,2.0
780,10_hard_full,1,2.0
781,10_hard_full,1,2.0
782,10_hard_full,0,2.0
783,10_hard_full,1,2.0
784,10_hard_full,1,1.0
785,10_hard_full,1,1.0
786,10_hard_full,0,2.0
787,10_hard_full,1,2.0
788,10_hard_full,0,1.0
789,10_hard_full,1,2.0
790,10_hard_full,1,2.0
791,10_hard_full,0,1.0
792,10_hard_full,0,1.0
793,10_hard_full,1,2.0
794,10_hard_full,0,2.0
795,10_hard_full,0,2.0
796,10_hard_full,0,2.0
797,10_hard_full,1,2.0
798,10_hard_full,0,2.0
799,10_hard_full,0,2.0
800,10_hard_full,1,2.0
801,10_hard_full,1,2.0
802,10_hard_full,1,2.0
803,10_hard_full,0,2.0
804,10_hard_full,1,2.0
805,10_hard_full,1,2.0
806,10_hard_full,0,2.0
807,10_hard_full,1,2.0
808,10_hard_full,1,2.0
809,10_hard_full,0,2.0
810,10_hard_full,1,2.0
811,10_hard_full,1,2.0
812,10_hard_full,0,2.0
813,10_hard_full,0,2.0
814,10_hard_full,1,2.0
815,10_hard_full,1,2.0
816,10_hard_full,0,2.0
817,10_hard_full,0,2.0
818,10_hard_full,1,2.0
819,10_hard_full,1,2.0
820,10_hard_full,0,1.0
821,10_hard_full,0,1.0
822,10_hard_full,0,1.0
823,10_hard_full,0,2.0
824,10_hard_full,0,2.0
825,10_hard_full,0,1.0
826,10_hard_full,0,1.0
827,10_hard_full,0,2.0
828,10_hard_full,0,2.0
829,10_hard_full,0,2.0
830,10_hard_full,0,2.0
831,10_hard_full,1,2.0
832,10_hard_full,1,2.0
833,10_hard_full,1,1.0
834,10_hard_full,0,1.0
835,10_hard_full,0,1.0
836,10_hard_full,0,2.0
837,10_hard_full,0,2.0
838,10_hard_full,1,2.0
839,10_hard_full,1,2.0
840,10_hard_full,0,2.0
841,10_hard_full,1,2.0
842,10_hard_full,1,2.0
843,10_hard_full,0,1.0
844,10_hard_full,1,2.0
845,10_hard_full,1,2.0
846,10_hard_full,1,2.0
847,10_hard_full,0,2.0
848,10_hard_full,1,2.0
849,10_hard_full,1,2.0
850,10_hard_full,1,1.0
851,10_hard_full,1,1.0
852,10_hard_full,1,2.0
853,10_hard_full,1,2.0
854,10_hard_full,1,2.0
855,10_hard_full,0,1.0
856,10_hard_full,0,2.0
857,10_hard_full,1,2.0
858,10_hard_full,0,1.0
859,10_hard_full,0,1.0
860,10_hard_full,0,2.0
861,10_hard_full,1,2.0
862,10_hard_full,1,2.0
863,10_hard_full,0,2.0
864,10_hard_full,0,2.0
865,10_hard_full,0,2.0
866,10_hard_full,0,2.0
867,10_hard_full,0,2.0
868,10_hard_full,0,2.0
869,10_hard_full,0,2.0
870,10_hard_full,0,2.0
871,10_hard_full,0,2.0
872,10_hard_full,0,2.0
873,10_hard_full,0,2.0
874,10_hard_full,0,2.0
875,10_hard_full,0,2.0
876,10_hard_full,0,2.0
877,10_hard_full,1,2.0
878,10_hard_full,0,1.0
879,10_hard_full,0,2.0
880,10_hard_full,1,2.0
881,10_hard_full,0,2.0
882,10_hard_full,1,2.0
883,10_hard_full,0,2.0
884,10_hard_full,1,2.0
885,10_hard_full,1,2.0
886,10_hard_full,1,2.0
887,10_hard_full,0,2.0
888,10_hard_full,1,2.0
889,10_hard_full,1,2.0
890,10_hard_full,1,2.0
891,10_hard_full,1,2.0
892,10_hard_full,1,2.0
893,10_hard_full,0,1.0
894,10_hard_full,0,1.0
895,10_hard_full,1,1.0
896,10_hard_full,0,2.0
897,10_hard_full,0,2.0
898,10_hard_full,1,2.0
