run,chosen_moves,k,num_nodes_rollouts,board,num_nodes,correct
92,66,None,7412,10_easy_pruned,5000,0
93,70,None,7427,10_easy_pruned,5001,0
94,60,None,7396,10_easy_pruned,5000,0
95,30,None,7410,10_easy_pruned,5001,0
96,60,None,7382,10_easy_pruned,5001,0
97,70,None,7388,10_easy_pruned,5001,0
98,60,None,7408,10_easy_pruned,5000,0
99,60,None,7412,10_easy_pruned,5000,0
0,44,None,16883,10_hard_full,5001,0
1,61,None,16839,10_hard_full,5001,0
2,61,None,16841,10_hard_full,5001,0
3,62,None,16843,10_hard_full,5001,0
4,44,None,16906,10_hard_full,5000,0
5,45,None,16909,10_hard_full,5000,0
6,44,None,16888,10_hard_full,5001,0
7,45,None,16919,10_hard_full,5001,0
8,45,None,16943,10_hard_full,5001,0
9,28,None,16882,10_hard_full,5001,0
10,74,None,16851,10_hard_full,5000,0
11,44,None,16875,10_hard_full,5001,0
12,45,None,16792,10_hard_full,5000,0
13,74,None,16914,10_hard_full,5001,0
14,44,None,16901,10_hard_full,5000,0
15,45,None,16860,10_hard_full,5001,0
16,45,None,16900,10_hard_full,5001,0
17,44,None,16864,10_hard_full,5000,0
18,44,None,16924,10_hard_full,5000,0
19,44,None,16959,10_hard_full,5001,0
20,44,None,16866,10_hard_full,5000,0
21,45,None,16984,10_hard_full,5001,0
22,45,None,16897,10_hard_full,5000,0
23,74,None,16993,10_hard_full,5001,0
24,44,None,16846,10_hard_full,5001,0
25,44,None,16870,10_hard_full,5001,0
26,44,None,16850,10_hard_full,5000,0
27,44,None,16802,10_hard_full,5000,0
